	season	episode_number	title	airdate	rating	total_votes	desc	id	show_title
0	1	1	Islands	18 Feb. 2017	9.4	4,796	Wildlife documentary series with David Attenborough, beginning with a look at the remote islands which offer sanctuary to some of the planet's rarest creatures.	tt5491994	Planet Earth II
1	1	2	Mountains	25 Feb. 2017	9.1	3,693	The wildlife documentary series with David Attenborough continues with a unique and intimate glimpse into secretive lives of mountain-dwelling animals.	tt5491994	Planet Earth II
2	1	3	Jungles	4 Mar. 2017	8.9	3,276	Jungles provide the richest habitats on the planet - mysterious worlds of high drama where extraordinary animals attempt to survive in the most competitive place on earth.	tt5491994	Planet Earth II
3	1	4	Deserts	11 Mar. 2017	8.8	2,928	The world's deserts force animals to come up with ingenious ways of coping with hostile conditions, giving rise to the most incredible survival stories on earth.	tt5491994	Planet Earth II
4	1	5	Grasslands	18 Mar. 2017	8.6	2,693	Grasslands cover one quarter of all land and support the vast gatherings of wildlife, but to survive here animals must endure the most hostile seasonal changes on the planet. From Asia's bizarre-looking saiga antelope to the giant anteaters of Brazil, grassland animals have adapted in extraordinary ways to cope with these extremes. In the flooded Okavango, lions take on formidable buffalo in epic battles, on the savannah bee-eaters take advantage of elephants to help catch insects and, on the freezing northern tundra, caribou embark on great migrations shadowed by ...	tt5491994	Planet Earth II
5	1	6	Cities	25 Mar. 2017	9.0	2,856	Cities are the newest habitat on Planet Earth. The series documents the wildlife in our cities.	tt5491994	Planet Earth II
6	1	1	Pilot	20 Jan. 2008	9.0	37,169	Diagnosed with terminal lung cancer, chemistry teacher Walter White teams up with former student Jesse Pinkman to cook and sell crystal meth.	tt0903747	Breaking Bad
7	1	2	Cat's in the Bag...	27 Jan. 2008	8.6	27,106	After their first drug deal goes terribly wrong, Walt and Jesse are forced to deal with a corpse and a prisoner. Meanwhile, Skyler grows suspicious of Walt's activities.	tt0903747	Breaking Bad
8	1	3	...And the Bag's in the River	10 Feb. 2008	8.7	26,255	Walt and Jesse clean up after the bathtub incident before Walt decides what course of action to take with their prisoner Krazy-8.	tt0903747	Breaking Bad
9	1	4	Cancer Man	17 Feb. 2008	8.2	25,309	Walt tells the rest of his family about his cancer. Jesse tries to make amends with his own parents.	tt0903747	Breaking Bad
10	1	5	Gray Matter	24 Feb. 2008	8.3	24,861	Walt rejects everyone who tries to help him with the cancer. Jesse tries his best to create Walt's meth, with the help of an old friend.	tt0903747	Breaking Bad
11	1	6	Crazy Handful of Nothin'	2 Mar. 2008	9.3	29,218	With the side effects and cost of his treatment mounting, Walt demands that Jesse finds a wholesaler to buy their drugs - which lands him in trouble.	tt0903747	Breaking Bad
12	1	7	A No-Rough-Stuff-Type Deal	9 Mar. 2008	8.8	25,328	Walt and Jesse try to up their game by making more of the crystal every week for Tuco. Unfortunately, some of the ingredients they need are not easy to find. Meanwhile, Skyler realizes that her sister is a shoplifter.	tt0903747	Breaking Bad
13	2	1	Seven Thirty-Seven	8 Mar. 2009	8.6	22,976	Walt and Jesse realize how dire their situation is. They must come up with a plan to kill Tuco before Tuco kills them first.	tt0903747	Breaking Bad
14	2	2	Grilled	15 Mar. 2009	9.3	26,431	Walt's disappearance is met with investigation by both his wife and Hank, as Tuco Salamanca intends to leave town with his kidnapped cooks.	tt0903747	Breaking Bad
15	2	3	Bit by a Dead Bee	22 Mar. 2009	8.3	22,122	Walt and Jesse try to come up with alibis for their disappearances.	tt0903747	Breaking Bad
16	2	4	Down	29 Mar. 2009	8.2	22,250	Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.	tt0903747	Breaking Bad
17	2	5	Breakage	5 Apr. 2009	8.3	21,626	Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.	tt0903747	Breaking Bad
18	2	6	Peekaboo	12 Apr. 2009	8.8	23,755	After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.	tt0903747	Breaking Bad
19	2	7	Negro y Azul	19 Apr. 2009	8.6	21,730	Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be.	tt0903747	Breaking Bad
20	2	8	Better Call Saul	26 Apr. 2009	9.2	25,937	Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman.	tt0903747	Breaking Bad
21	2	9	4 Days Out	3 May 2009	9.1	24,777	Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.	tt0903747	Breaking Bad
22	2	10	Over	10 May 2009	8.5	21,240	Walt's cancer has greatly improved. Time to celebrate. Meanwhile Jesse tries to meet his new girlfriend's father.	tt0903747	Breaking Bad
23	2	11	Mandala	17 May 2009	8.9	21,917	Walt and Jesse's little empire begins to crumble. Saul tries to set them up with a mysterious distributor.	tt0903747	Breaking Bad
24	2	12	Phoenix	24 May 2009	9.3	24,616	Walt and Skyler have a baby girl. Now that Jesse is hooked on heroin, Walt refuses to give him his money until he gets clean. Meanwhile, as an excuse for his money, Walt decides to donate the money to himself through his son's new website.	tt0903747	Breaking Bad
25	2	13	ABQ	31 May 2009	9.2	24,329	Walt's lies have pushed Skyler to her limit. She leaves with the kids. Meanwhile, Jesse blames himself for Jane's death and goes into rehab.	tt0903747	Breaking Bad
26	3	1	No Más	21 Mar. 2010	8.5	21,020	Skyler goes through with her plans to divorce Walt. Jesse finishes rehab.	tt0903747	Breaking Bad
27	3	2	Caballo sin Nombre	28 Mar. 2010	8.6	20,513	Walter, Jr. is having a rough time accepting his parents' separation. Jesse buys his old house from his parents. Meanwhile, two mysterious men have come into town looking for Walt.	tt0903747	Breaking Bad
28	3	3	I.F.T.	4 Apr. 2010	8.4	20,401	Walt has moved back into the house without Skyler's consent. Now she can't get him out. Meanwhile, Jesse continues to cope with Jane's death.	tt0903747	Breaking Bad
29	3	4	Green Light	11 Apr. 2010	8.2	20,590	Walt's world crumbles even more after finding out that Skyler is cheating on him. Jesse tries to set up a meeting with Gus to try and sell his own version of the blue meth. Meanwhile, Hank is growing obsessed with finding Heisenberg.	tt0903747	Breaking Bad
30	3	5	Más	18 Apr. 2010	8.6	19,962	Gus tries to get Walt back in the business by offering him three million dollars and a brand new lab. Jesse is furious that Walt received half of the money for his blue meth. Hank tries to track down the RV meth lab.	tt0903747	Breaking Bad
31	3	6	Sunset	25 Apr. 2010	9.3	23,446	Heisenberg's organized and practical assistant Gale greatly aids his work in Gus's lab. Hank finally tracks the RV back to Jesse, as a concerned Walt finds any way to erase the evidence.	tt0903747	Breaking Bad
32	3	7	One Minute	2 May 2010	9.6	28,757	Jesse ends up in the hospital after getting beaten up by Hank. Now he is threatening to press charges against the DEA. To stop him, Walt decides to bring Jesse on as his partner, once again.	tt0903747	Breaking Bad
33	3	8	I See You	9 May 2010	8.7	20,511	Hank ends up in the hospital after being attacked by Tuco's cousins. Walt spends too much time by his family's side when he should be cooking meth.	tt0903747	Breaking Bad
34	3	9	Kafkaesque	16 May 2010	8.4	20,243	Skyler hatches a plan as Hank's hospital bills stack up. Meanwhile, Walt and Gus come to a better understanding as Jesse, looking for more independence, pursues a new opportunity.	tt0903747	Breaking Bad
35	3	10	Fly	23 May 2010	7.8	35,786	There is a fly loose in the lab. Walt and Jesse must do whatever they can to kill it before it contaminates the meth.	tt0903747	Breaking Bad
36	3	11	Abiquiu	30 May 2010	8.4	20,122	Skyler gets more involved in Walt's business, much to his chagrin, as Hank struggles with his recovery. Meanwhile, Jesse takes an active role in his new enterprise, leading him to a startling discovery.	tt0903747	Breaking Bad
37	3	12	Half Measures	6 Jun. 2010	9.5	27,966	Against Walt's advice, Jesse lashes out. Fearing for Jesse's safety, Walt takes drastic action to intervene. Meanwhile a tragic event leads to a shocking confrontation.	tt0903747	Breaking Bad
38	3	13	Full Measure	13 Jun. 2010	9.6	31,356	Jesse has disappeared and Walt is in big trouble with Gus. So Gus rehires Gale to learn from Walt's cooking so that they can dispose of Walt once and for all.	tt0903747	Breaking Bad
39	4	1	Box Cutter	17 Jul. 2011	9.2	25,028	Walt and Jesse are held captive by Gus, after Gale's death. Meanwhile, Skyler tries to find out what happened to Walt.	tt0903747	Breaking Bad
40	4	2	Thirty-Eight Snub	24 Jul. 2011	8.2	20,774	Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family.	tt0903747	Breaking Bad
41	4	3	Open House	31 Jul. 2011	8.0	21,052	While Walt worries about Gus's interference and Jesse's increasingly fragile state of mind, Skyler steps up the pressure to get what she wants.	tt0903747	Breaking Bad
42	4	4	Bullet Points	7 Aug. 2011	8.6	19,944	As Skyler concocts an elaborate story to explain the Whites' finances, a worried Walt discovers that Hank has begun a new investigation.	tt0903747	Breaking Bad
43	4	5	Shotgun	14 Aug. 2011	8.6	19,996	Jesse rides shotgun with Mike on a perilous run of pickups, prompting Walt to worry that his partner is about to be killed.	tt0903747	Breaking Bad
44	4	6	Cornered	21 Aug. 2011	8.4	20,222	Skyler adopts an aloof approach when she suspects that Walt isn't telling her the truth. Meanwhile, Jesse proves his worth to Mike and Gus.	tt0903747	Breaking Bad
45	4	7	Problem Dog	28 Aug. 2011	8.8	20,894	Skyler looks to continue her family's trend of appearing poverty-stricken by forcing Walt to return the car he bought. A concerned Walt chauffeurs Hank to Los Pollos Hermanos, and the articulate yet immobile DEA agent collects prints.	tt0903747	Breaking Bad
46	4	8	Hermanos	4 Sep. 2011	9.2	23,512	When Hank produces evidence that Gus is Albuquerque's crystal meth kingpin, Walt worries that he and Jesse will be killed to protect their boss.	tt0903747	Breaking Bad
47	4	9	Bug	11 Sep. 2011	8.8	21,174	While Walt tries to subvert Hank's probe into the Albuquerque meth scene, a deadly warning forces Gus to consider a deal with the cartel.	tt0903747	Breaking Bad
48	4	10	Salud	18 Sep. 2011	9.6	29,687	Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.	tt0903747	Breaking Bad
49	4	11	Crawl Space	25 Sep. 2011	9.7	34,517	Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.	tt0903747	Breaking Bad
50	4	12	End Times	2 Oct. 2011	9.5	26,701	The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.	tt0903747	Breaking Bad
51	4	13	Face Off	9 Oct. 2011	9.9	64,787	Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.	tt0903747	Breaking Bad
52	5	1	Live Free or Die	15 Jul. 2012	9.2	28,327	Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up.	tt0903747	Breaking Bad
53	5	2	Madrigal	22 Jul. 2012	8.8	24,569	Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.	tt0903747	Breaking Bad
54	5	3	Hazard Pay	29 Jul. 2012	8.8	23,990	The guys put a business plan into action; Walt confesses to Marie.	tt0903747	Breaking Bad
55	5	4	Fifty-One	5 Aug. 2012	8.8	24,176	It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.	tt0903747	Breaking Bad
56	5	5	Dead Freight	12 Aug. 2012	9.7	35,109	Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine.	tt0903747	Breaking Bad
57	5	6	Buyout	19 Aug. 2012	9.0	24,603	In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA.	tt0903747	Breaking Bad
58	5	7	Say My Name	26 Aug. 2012	9.5	31,686	Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.	tt0903747	Breaking Bad
59	5	8	Gliding Over All	2 Sep. 2012	9.6	31,536	Walt expands his business overseas, and the money is pouring in.	tt0903747	Breaking Bad
60	5	9	Blood Money	11 Aug. 2013	9.4	30,174	Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.	tt0903747	Breaking Bad
61	5	10	Buried	18 Aug. 2013	9.2	26,888	Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids.	tt0903747	Breaking Bad
62	5	11	Confessions	25 Aug. 2013	9.6	32,370	Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.	tt0903747	Breaking Bad
63	5	12	Rabid Dog	1 Sep. 2013	9.1	28,096	Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.	tt0903747	Breaking Bad
64	5	13	To'hajiilee	8 Sep. 2013	9.8	47,567	Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.	tt0903747	Breaking Bad
65	5	14	Ozymandias	15 Sep. 2013	10.0	186,924	Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.	tt0903747	Breaking Bad
66	5	15	Granite State	22 Sep. 2013	9.7	46,773	Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.	tt0903747	Breaking Bad
67	5	16	Felina	29 Sep. 2013	9.9	123,216	Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.	tt0903747	Breaking Bad
68	1	1	From Pole to Pole	25 Mar. 2007	9.0	3,977	"""Planet Earth"" travels around the Earth, finding where the sun always shines and where it's rarely seen. Next, they find where water is abundant and where it's scarce."	tt0795176	Planet Earth
69	1	2	Mountains	25 Mar. 2007	8.8	3,447	Mountains are the most prominent products of the immense forces which shape the living planet: tectonic drift, volcanic activity and erosion by wind, water, frost and precipitation. We see how wildlife adapts to the harsh, often extreme conditions in various types of mountain ranges, such as Gelada baboons on a suddenly volcano-pushed Ethiopian peek, pumas in the Andes, grizzly bears in the Rockies, snow leopards in the Himalaya.	tt0795176	Planet Earth
70	1	3	Fresh Water	15 Apr. 2007	8.8	3,169	Although merely 3% of water on earth, fresh water plays an important part in the planet's weather and erosion. It is immensely important for all non-marine wildlife, which drinks fresh water and swims, procreates, hunts in it. Its concentrations, such as rivers, lakes and swamps, abound in aquatic and other species, often adapted to 'wet' life.	tt0795176	Planet Earth
71	1	4	Caves	22 Apr. 2007	8.8	3,073	The Earth's large, deep calcareous caves are virtually inaccessible and therefore barely explored - requiring expert diving where flooded. Some of its wildlife is as strange and specific as in the deep, darkest part of the ocean, whether physically adapted -notably to the dark. Nevertheless, some caves(did) play an important part in native cultures, even as sources of fresh water for some Mayan cities.	tt0795176	Planet Earth
72	1	5	Deserts	1 Apr. 2007	8.7	2,937	A large and growing part of earth's land mass is covered in desert - each one widely varied in composition and dryness. Wildlife species have adapted in different ways to these different arid lands especially to get and conserve water. Some are physically desert-models, like camels, others just changed their diet and behavior. Most live mainly at night, when it's cooler. The largest desert is northern Africa's Sahara, US size and extremely sandy, the result of grinding erosion of mountains. Short moist moments or periods are taken intense advantage off, leading to ...	tt0795176	Planet Earth
