Title,Rating_Overall
Planet Earth II,9.4
Breaking Bad,9.4
Planet Earth,9.4
Band of Brothers,9.4
Chernobyl,9.3
The Wire,9.3
Blue Planet II,9.2
Avatar: The Last Airbender,9.2
Cosmos: A Spacetime Odyssey,9.2
The Sopranos,9.2
Our Planet,9.2
Cosmos,9.2
Game of Thrones,9.1
Rick and Morty,9.1
The World at War,9.1
Fullmetal Alchemist: Brotherhood,9.1
The Last Dance,9
Life,9
Sherlock,9
The Twilight Zone,9
The Vietnam War,9
Batman: The Animated Series,9
Scam 1992: The Harshad Mehta Story,9
Arcane,8.9
The Blue Planet,8.9
Attack on Titan,8.9
The Office,8.9
Firefly,8.9
Human Planet,8.9
Frozen Planet,8.9
Death Note,8.9
Only Fools and Horses,8.9
True Detective,8.9
The Civil War,8.9
Hunter x Hunter,8.9
The Beatles: Get Back,8.9
Seinfeld,8.9
Persona,8.9
Dekalog,8.9
Fargo,8.9
Clarkson's Farm,8.9
Better Call Saul,8.9
Cowboy Bebop,8.9
Nathan for You,8.8
Gravity Falls,8.8
When They See Us,8.8
Friends,8.8
Last Week Tonight with John Oliver,8.8
TVF Pitchers,8.8
Africa,8.8
Apocalypse: The Second World War,8.8
Monty Python's Flying Circus,8.8
It's Always Sunny in Philadelphia,8.8
Taskmaster,8.8
Das Boot,8.8
Curb Your Enthusiasm,8.8
Fawlty Towers,8.8
Pride and Prejudice,8.8
The West Wing,8.8
Freaks and Geeks,8.8
Leyla and Mecnun,8.7
Blackadder Goes Forth,8.7
Twin Peaks,8.7
Black Mirror,8.7
Narcos,8.7
BoJack Horseman,8.7
Chappelle's Show,8.7
Dragon Ball Z,8.7
Succession,8.7
Dragon Ball Z,8.7
I Claudius,8.7
South Park,8.7
Rome,8.7
Peaky Blinders,8.7
One Piece,8.7
Ted Lasso,8.7
Oz,8.7
Six Feet Under,8.7
Kota Factory,8.7
Over the Garden Wall,8.7
As If,8.7
Dark,8.7
The Mandalorian,8.7
Arrested Development,8.7
Steins;Gate,8.7
One Punch Man,8.7
The Boys,8.7
The Simpsons,8.7
House M.D.,8.7
The Shield,8.7
Stranger Things,8.7
Battlestar Galactica,8.6
Fleabag,8.6
Downton Abbey,8.6
Invincible,8.6
Gullak,8.6
Mad Men,8.6
Vinland Saga,8.6
Sarabhai V/S Sarabhai,8.6
The Rehearsal,8.6
House of Cards,8.6
Panchayat,8.6
The Marvelous Mrs. Maisel,8.6
Severance,8.6
The Crown,8.6
Peep Show,8.6
Star Trek: The Next Generation,8.6
Friday Night Lights,8.6
The Adventures of Sherlock Holmes,8.6
Top Gear,8.6
Berserk,8.6
The Grand Tour,8.6
The Thick of It,8.6
1883,8.6
Line of Duty,8.6
Justice League Unlimited,8.6
Deadwood,8.6
Dexter,8.6
The X-Files,8.6
Parks and Recreation,8.6
The Jinx: The Life and Deaths of Robert Durst,8.6
Aspirants,8.6
Father Ted,8.6
Naruto: Shippûden,8.6
This Is Us,8.6
Blackadder II,8.6
The Bridge,8.6
Demon Slayer: Kimetsu no Yaiba,8.6
Mahabharat,8.6
Code Geass,8.6
Daredevil,8.6
Atlanta,8.6
Archer,8.6
Behzat Ç.: Bir Ankara Polisiyesi,8.6
Heartstopper,8.6
It's a Sin,8.6
Primal,8.6
Mystery Science Theater 3000,8.6
Blackadder the Third,8.6
Young Justice,8.6
Lonesome Dove,8.6
Gomorrah,8.6
Mindhunter,8.5
The Return of Sherlock Holmes,8.5
Yellowstone,8.5
Adventure Time,8.5
Monster,8.5
QI,8.5
Haikyu!!,8.5
Yeh Meri Family,8.5
Mr. Bean,8.5
Dopesick,8.5
Making a Murderer,8.5
Anne with an E,8.5
Poirot,8.5
Ramayan,8.5
Justified,8.5
Boardwalk Empire,8.5
Yes Minister,8.5
The Haunting of Hill House,8.5
The Bugs Bunny Show,8.5
The Eric Andre Show,8.5
The Queen's Gambit,8.5
The Newsroom,8.5
Formula 1: Drive to Survive,8.5
Flight of the Conchords,8.5
Dragon Ball,8.5
Justice League,8.5
Impractical Jokers,8.5
Coupling,8.5
Spaced,8.5
Crash Landing on You,8.5
Dragon Ball,8.5
Battlestar Galactica,8.5
Homicide: Life on the Street,8.5
The Venture Bros.,8.5
Westworld,8.5
Long Way Round,8.5
The Family Man,8.5
The Offer,8.5
The Bureau,8.5
Pose,8.5
What We Do in the Shadows,8.5
The IT Crowd,8.5
Samurai Champloo,8.5
The Office,8.5
Louie,8.5
Mr. Robot,8.5
I'm Alan Partridge,8.5
Yes Prime Minister,8.5
Black Sun,8.5
Whose Line Is It Anyway?,8.5
Through the Wormhole,8.5
Letterkenny,8.5
Shameless,8.5
Spartacus,8.5
Cobra Kai,8.5
Samurai Jack,8.5
Skam,8.5
Fullmetal Alchemist,8.5
Sons of Anarchy,8.5
Jujutsu Kaisen,8.5
North & South,8.5
Brass Eye,8.5
Neon Genesis Evangelion,8.5
Spartacus: Gods of the Arena,8.5
Silicon Valley,8.5
Doctor Who,8.5
Ezel,8.5
Trailer Park Boys,8.5
Endeavour,8.5
Mob Psycho 100,8.5
Detectorists,8.5
From the Earth to the Moon,8.5
Futurama,8.5
Twin Peaks,8.5
Rurouni Kenshin: Trust and Betrayal,8.5
Hannibal,8.5
Community,8.4
Umbre,8.4
Schitt's Creek,8.4
The Expanse,8.4
Chef's Table,8.4
Generation Kill,8.4
The Night Of,8.4
The Angry Video Game Nerd,8.4
Alfred Hitchcock Presents,8.4
Regular Show,8.4
Mr Inbetween,8.4
Big Little Lies,8.4
The Knick,8.4
My Brilliant Friend,8.4
Wentworth,8.4
SPY×FAMILY,8.4
Your Lie in April,8.4
Black Books,8.4
John Adams,8.4
X-Men: The Animated Series,8.4
The Punisher,8.4
The Defiant Ones,8.4
Southland,8.4
Avrupa Yakasi,8.4
Mare of Easttown,8.4
Garth Marenghi's Darkplace,8.4
Content Cop,8.4
Erased,8.4
Gintama,8.4
Rocket Boys,8.4
Kardes Payi,8.4
Queer Eye,8.4
